city_id,city_name,country,continent,centroid_lon,centroid_lat,population_2020,area_km2,dominant_mode,archetype,pct_horizontal,pct_vertical,pct_combined,pct_stable,pct_decline,mean_delta_height_m,mean_delta_built_fraction,total_delta_volume_proxy,vh_ratio,city_typology_stability_mean,city_typology_stability_ge70_pct,data_quality_flag
South_Asia_r01_c02_+25487+7455,Sullya,India,South_Asia,75.38004738066164,12.56839401661846,66473.44285716636,33.92446780248096,horizontal,horizontal,73.15175097276264,1.0376134889753568,4.020752269779507,1.7509727626459144,20.038910505836576,-0.4402783702474314,0.0036966548837825,0.1861500066343069,0.0141843971631205,0.7231508643401426,73.5408560311284,v2_endpoint_shards
South_Asia_r01_c02_+25543+7455,Arkalgud,India,South_Asia,76.10521007586424,12.70567504422454,102166.99322866928,183.5897766642627,horizontal,horizontal,88.42217484008529,0.1279317697228145,0.8742004264392325,2.11087420042644,8.464818763326226,-0.7424202827248237,0.0039346353646237,1.1440976402586784,0.0014468290330359,0.7586003090018657,80.53304904051173,v2_endpoint_shards
South_Asia_r01_c02_+25551+7409,Hassan,India,South_Asia,76.10968918389342,13.006109540650572,100392.64136170124,123.724497220186,horizontal,horizontal,84.42373911282155,0.6076564715414219,4.820741340895281,1.235568158800891,8.912294915940855,-0.4589184667263916,0.0144007103040573,2.5950695133706176,0.0071976967370441,0.7400757355175208,75.83552764836945,v2_endpoint_shards
South_Asia_r01_c02_+25551+7476,Kushalnagar,India,South_Asia,75.98113613296184,12.44211568147642,95692.95354002784,105.76314949617348,horizontal,horizontal,88.09315866084425,0.2037845705967976,1.7758369723435226,2.066957787481805,7.860262008733624,-0.7663198569976607,0.007440560887889,1.0523737675172242,0.0023132848645076,0.771700867676492,81.01892285298399,v2_endpoint_shards
South_Asia_r01_c02_+25572+7493,Hunsur,India,South_Asia,76.32306048584184,12.370009504145786,137109.0187107998,214.5197597863351,horizontal,horizontal,89.42145665605692,0.1872308556450103,1.1046620483055607,1.7225238719340947,7.564126568058416,-0.8355225122414642,0.0049202689406791,1.4543375672421917,0.0020938023450586,0.786437794010953,82.86837670848156,v2_endpoint_shards
South_Asia_r01_c02_+25573+7421,Channarayapatna,India,South_Asia,76.39227459826814,12.892538319363393,55623.98847081709,119.73370412704644,horizontal,horizontal,87.0052976004986,0.3116235587410408,1.7762542848239329,1.495793081956996,9.411031473979431,-0.8176055259888846,0.0056275384516735,1.0329173376076142,0.0035816618911174,0.780323802440402,81.20909940791523,v2_endpoint_shards
South_Asia_r01_c02_+25585+7457,Krishnarajasagara,India,South_Asia,76.32634453733587,12.558790903053142,54337.41222992224,103.7669234226949,horizontal,horizontal,90.55082848186296,0.2686968204209583,0.5373936408419167,1.567398119122257,7.075682937751903,-0.8223291245267043,0.003844091396963,0.5850188233920335,0.0029673590504451,0.7820431563654556,82.6242722794447,v2_endpoint_shards
South_Asia_r01_c02_+25592+7453,Krishnarajpet,India,South_Asia,76.52011626506327,12.631400198801504,70166.92189459613,116.73850248207408,horizontal,horizontal,89.1571194762684,0.0409165302782324,1.4320785597381342,0.8592471358428805,8.51063829787234,-0.753947141517789,0.0047864197441752,0.7201364862498849,0.0004589261128958,0.7855068275464147,82.61047463175123,v2_endpoint_shards
South_Asia_r01_c02_+25604+7586,Kalpatta,India,South_Asia,76.15210567470946,11.67168520810313,857323.7647341783,1279.1356631884169,horizontal,horizontal,80.09384950561422,1.474777945366181,5.835428188369365,2.245684598625775,10.350259762024468,0.0135005657689264,0.0056750015634464,22.032731447231555,0.0184131235353197,0.7204240510306686,70.0201106083459,v2_endpoint_shards
South_Asia_r01_c02_+25613+7466,French Rocks,India,South_Asia,76.6642367105639,12.50032471060812,55360.41877412236,52.882248593640654,horizontal,horizontal,88.75530410183876,0.0,1.768033946251768,1.272984441301273,8.203677510608204,-0.8632232001343745,0.0066704462177555,0.4446857022826407,0.0,0.788502306041151,82.46110325318246,v2_endpoint_shards
South_Asia_r01_c02_+25616+7494,Belvata,India,South_Asia,76.62482412045117,12.371350772429077,1058770.3527773842,384.1385041368311,horizontal,horizontal,87.57055503292568,0.5526810912511759,5.21519285042333,0.4703668861712135,6.191204139228598,-0.7041955264293968,0.0145614758353091,13.881619527713552,0.0063112662817241,0.7376348400385113,75.39981185324554,v2_endpoint_shards
South_Asia_r01_c02_+25623+7552,Gundlupet,India,South_Asia,76.66510050865062,11.797473102635792,63975.034780416296,65.85176552602849,horizontal,horizontal,82.62463343108504,0.4398826979472141,2.19941348973607,2.346041055718475,12.390029325513195,-0.4397140683666352,0.0052452915296939,0.4478830673091352,0.0053238686779059,0.7500810818937866,79.32551319648094,v2_endpoint_shards
South_Asia_r01_c02_+25626+7515,Nanjangud,India,South_Asia,76.71887988547756,12.133851721207373,122894.30492056395,102.77050369216936,horizontal,horizontal,82.27374719521316,0.7853403141361257,4.151084517576664,1.4584891548242334,11.331338818249812,-0.2655414812762789,0.010082811274818,1.1928012565977042,0.0095454545454545,0.7353628839051982,76.8885564697083,v2_endpoint_shards
South_Asia_r01_c02_+25629+7611,Kerkandi,India,South_Asia,76.74817034104541,11.378380183619354,236970.0574710672,263.41037370998725,horizontal,horizontal,81.71454118699005,0.7712082262210797,3.46484855258746,1.0394545657762375,13.009947468425173,-0.5200805873514834,0.0030929417743476,3.915809055854425,0.0094378334017234,0.6585763624504024,66.91628478819716,v2_endpoint_shards
South_Asia_r01_c02_+25630+7467,Maddur,India,South_Asia,77.05352273301659,12.596225599568044,418592.17582250736,578.7036250038927,horizontal,horizontal,88.31249611245879,0.1679417801828699,1.4679355601169373,0.7961684393854574,9.255458107855944,-0.8990575265860672,0.0053621788283014,4.905304082696034,0.0019016762924355,0.734402455759781,76.92355538968712,v2_endpoint_shards
