product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDV_20180322T062533_20180322T062603_021124_0244D6_592D,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T062533_20180322T062603_021124_0244D6_592D.SAFE
S1A_IW_GRDH_1SDV_20180322T062833_20180322T062858_021124_0244D6_3F49,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T062833_20180322T062858_021124_0244D6_3F49.SAFE
S1A_IW_GRDH_1SDV_20180322T063743_20180322T063812_021124_0244D6_7326,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T063743_20180322T063812_021124_0244D6_7326.SAFE
S1A_IW_GRDH_1SDV_20180322T100529_20180322T100554_021126_0244E7_57EE,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T100529_20180322T100554_021126_0244E7_57EE.SAFE
S1A_IW_GRDH_1SDV_20180322T105619_20180322T105644_021127_0244EC_666A,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T105619_20180322T105644_021127_0244EC_666A.SAFE
S1A_IW_GRDH_1SDV_20180322T131408_20180322T131433_021128_0244F7_0209,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T131408_20180322T131433_021128_0244F7_0209.SAFE
S1A_IW_GRDH_1SDV_20180903T234718_20180903T234743_023541_029049_80A1,2,0,2,2018-09,S1A_IW_GRDH_1SDV_20180903T234718_20180903T234743_023541_029049_80A1.SAFE
S1A_IW_GRDH_1SDV_20180903T234743_20180903T234808_023541_029049_F375,2,0,2,2018-09,S1A_IW_GRDH_1SDV_20180903T234743_20180903T234808_023541_029049_F375.SAFE
S1A_IW_GRDH_1SDV_20180903T234808_20180903T234844_023541_029049_7DD1,2,0,2,2018-09,S1A_IW_GRDH_1SDV_20180903T234808_20180903T234844_023541_029049_7DD1.SAFE
S1A_IW_GRDH_1SDV_20181207T225843_20181207T225912_024926_02BEF7_8C8D,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T225843_20181207T225912_024926_02BEF7_8C8D.SAFE
