city_id,city_name,country,continent,centroid_lon,centroid_lat,s1_ri_score,mean_monthly_acquisitions_2017_2026,fraction_months_with_observation
Latin_America_+10504+8642,Neiva,Colombia,Latin_America,-75.27773160381469,2.938090745287504,0.7136214721633064,5.123893805309734,0.9823008849557522
Latin_America_+10506+7861,Lorica,Colombia,Latin_America,-75.80953401200874,9.235527472419877,0.8658637646180932,6.36283185840708,1.0
Latin_America_+10519+8252,Rionegro,Colombia,Latin_America,-75.37780084199743,6.1615310113810295,0.7860413521318684,6.654867256637168,0.991150442477876
Latin_America_+10525+8458,Ibague,Colombia,Latin_America,-75.19367891252327,4.432595431108447,0.7090076393616217,4.938053097345133,0.9734513274336284
Latin_America_+10527+8018,Montelibano,Colombia,Latin_America,-75.41954403374126,7.969644875685587,0.8034980334316617,5.070796460176991,0.991150442477876
Latin_America_+10534+7901,Sahagun,Colombia,Latin_America,-75.44728957017558,8.944074164153191,0.8024287118977385,5.061946902654867,0.991150442477876
Latin_America_+10545+7856,Sincelejo,Colombia,Latin_America,-75.39469172014465,9.300993640558302,0.8658637646180932,6.36283185840708,1.0
Latin_America_+10548+7731,Cartagena,Colombia,Latin_America,-75.50105241882036,10.387145608546977,0.8660978909715932,6.380530973451328,1.0
Latin_America_+10550+8740,Puerto Rico,Colombia,Latin_America,-74.76904410341415,2.1183480252183324,0.7097486479842674,4.9734513274336285,0.9823008849557522
Latin_America_+10551+8016,Caucasia,Colombia,Latin_America,-75.19809739761502,7.980807161886625,0.8034980334316617,5.070796460176991,0.991150442477876
Latin_America_+10556+7851,Corozal,Colombia,Latin_America,-75.2878701320601,9.340284030384488,0.8658637646180932,6.36283185840708,1.0
Latin_America_+10561+8473,Girardot City,Colombia,Latin_America,-74.79301763978724,4.295291083208332,0.6710624931716377,3.7168141592920354,0.9646017699115044
Latin_America_+10579+8327,Puerto Salgar,Colombia,Latin_America,-74.66529844977353,5.461715137313123,0.6719242324920791,3.743362831858407,0.9646017699115044
Latin_America_+10601+8465,Fusagasuga,Colombia,Latin_America,-74.37720437341098,4.336004791724125,0.6713711351469464,3.7168141592920354,0.9646017699115044
Latin_America_+10610+7861,Magangue,Colombia,Latin_America,-74.76307398140939,9.245933086274787,0.8658637646180932,6.36283185840708,1.0
Latin_America_+10611+7690,Sabanalarga,Colombia,Latin_America,-74.92042163484683,10.631739538751004,0.8656793988363823,6.353982300884955,1.0
Latin_America_+10625+8448,Cota,Colombia,Latin_America,-74.09666707570244,4.734561101123717,0.735228909739252,6.398230088495575,0.9646017699115044
Latin_America_+10631+7669,Barranquilla,Colombia,Latin_America,-74.80699442551148,10.940961449520447,0.9666838837046476,11.610619469026547,1.0
Latin_America_+10633+7900,Pinillos,Colombia,Latin_America,-74.51257469874304,8.96741258674514,0.9484095378564408,11.389380530973453,0.991150442477876
Latin_America_+10644+8381,Zipaquira,Colombia,Latin_America,-73.97614385181177,5.041587624403757,0.7283909383848077,6.079646017699115,0.9646017699115044
Latin_America_+10668+8498,Villavicencio,Colombia,Latin_America,-73.61728709609525,4.1209224164859695,0.734789647422391,6.415929203539823,0.9646017699115044
Latin_America_+10676+7646,Puebloviejo,Colombia,Latin_America,-74.27216671636424,10.997106756672812,0.9326178060785346,9.43362831858407,1.0
Latin_America_+10676+8130,Barrancabermeja,Colombia,Latin_America,-73.84863330258803,7.063774741401033,0.7223494471534927,5.415929203539823,0.9823008849557522
Latin_America_+10683+7703,Fundacion,Colombia,Latin_America,-74.19116006358536,10.517224707820374,0.9329438149197355,9.442477876106194,1.0
Latin_America_+10689+7636,Santa Marta,Colombia,Latin_America,-74.19863438792333,11.198015227380695,0.9396237057835496,9.769911504424778,1.0
Latin_America_+10710+7975,Aguachica,Colombia,Latin_America,-73.6133437976037,8.31047868905083,0.8109095378564406,5.256637168141593,0.9823008849557522
Latin_America_+10712+8320,Tunja,Colombia,Latin_America,-73.3548750544782,5.546437389007233,0.7553049616375628,7.380530973451328,0.9823008849557522
Latin_America_+10737+7984,Ocana,Colombia,Latin_America,-73.35551553178962,8.24687023414101,0.8110939036381515,5.265486725663717,0.9823008849557522
Latin_America_+10749+8286,Duitama,Colombia,Latin_America,-73.0289585438913,5.816296833701158,0.7787074899128608,8.08849557522124,0.9734513274336284
Latin_America_+10750+8300,Sogamoso,Colombia,Latin_America,-72.92248745248375,5.731246895777429,0.701080942165013,4.389380530973451,0.9734513274336284
Latin_America_+10754+8147,Floridablanca,Colombia,Latin_America,-73.11423779615977,7.0551455887468615,0.7589739938290442,6.79646017699115,0.9734513274336284
Latin_America_+10764+8360,Tauramena,Colombia,Latin_America,-72.78022653371978,5.215964198377816,0.7022868619826584,4.433628318584071,0.9734513274336284
Latin_America_+10766+8685,San Jose del Guaviare,Colombia,Latin_America,-72.63481213454263,2.5633133376910933,0.7042870487428009,4.380530973451328,0.9823008849557522
Latin_America_+10775+7714,Valledupar,Colombia,Latin_America,-73.2612267123367,10.461611260494813,0.8192884545405276,6.433628318584071,0.9823008849557522
Latin_America_+10803+8348,Yopal,Colombia,Latin_America,-72.39822269343001,5.322113509113088,0.6983154554393491,4.256637168141593,0.9734513274336284
Latin_America_+10814+8037,Cucuta,Colombia,Latin_America,-72.48960464926411,7.878499111002099,0.846270894788594,6.911504424778761,0.9823008849557522
Latin_America_+10825+7581,Riohacha,Colombia,Latin_America,-72.91742167819595,11.530537065530757,0.8781785232443804,9.04424778761062,1.0
Latin_America_+10877+7551,Manaure,Colombia,Latin_America,-72.43447054642802,11.769284527744082,0.7958166975372162,5.132743362831858,1.0
Latin_America_+10890+7598,Maicao,Colombia,Latin_America,-72.24564466157379,11.37780203201956,0.794563010221582,5.115044247787611,1.0
Latin_America_+10891+7556,Uribia,Colombia,Latin_America,-72.26995615647982,11.714773173305444,0.7957333967413779,5.123893805309734,1.0
Latin_America_+10987+8128,Arauca,Colombia,Latin_America,-70.74619665239003,7.077148231632035,0.710039816745893,4.964601769911504,0.9823008849557522
