city_id,city_name,country,continent,centroid_lon,centroid_lat,population_2020,area_km2,dominant_mode,archetype,data_quality_flag,n_months,mean_monthly_acquisitions_2017_2026,median_monthly_acquisitions_2017_2026,min_monthly_acquisitions_2017_2026,max_monthly_acquisitions_2017_2026,fraction_months_with_observation,fraction_months_with_dual_pol_coverage,fraction_months_with_both_asc_desc,mean_monthly_s1a,mean_monthly_s1b,mean_monthly_s1c,mean_monthly_s1d,longest_observation_gap_days,longest_gap_metric_basis,pre_1b_baseline_mean_monthly_count_2019_2021,single_satellite_era_mean_monthly_count_2022_2024,recovery_era_mean_monthly_count_2025_2026,pre_1b_fraction_months_observed_2019_2021,single_satellite_fraction_months_observed_2022_2024,recovery_fraction_months_observed_2025_2026,recovery_fraction_months_with_s1c_or_s1d_2025_2026,loss_after_1b_failure_2022_2024_minus_2019_2021,relative_loss_after_1b_failure,single_to_pre_1b_ratio,recovery_delta_2025_2026_minus_2022_2024,recovery_to_single_satellite_ratio,score_component_mean_acquisition,score_component_observation_continuity,score_component_gap,score_component_dual_pol,score_component_orbit_diversity,score_component_1b_shock_resilience,s1_ri_score,s1_ri_score_equal_weight_sensitivity,source_inventory_version,analysis_month_start,analysis_month_end
Africa_+22168+8515,Ramu,Kenya,Africa,41.23387594302173,3.9312165140479305,69413.16779662488,13.968750570434084,horizontal,horizontal,v2_endpoint_shards,113,5.3628318584070795,5.0,3,11,1.0,1.0,1.0,4.9734513274336285,0.061946902654867256,0.2920353982300885,0.035398230088495575,0,monthly_zero_observation_run_days,4.944444444444445,5.083333333333333,7.235294117647059,1.0,1.0,1.0,0.8235294117647058,0.1388888888888884,0.0,1.0280898876404494,2.151960784313726,1.4233365477338478,0.4469026548672566,1.0,1.0,1.0,1.0,1.0,0.8617256637168142,0.9078171091445428,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+22233+8515,Mandera,Kenya,Africa,41.855561161768925,3.934493540228652,148616.92718865076,35.91924635280779,horizontal,horizontal,v2_endpoint_shards,113,8.4070796460177,7.0,3,26,1.0,1.0,1.0,7.247787610619469,0.1415929203539823,0.911504424778761,0.10619469026548672,0,monthly_zero_observation_run_days,7.111111111111111,7.472222222222222,14.294117647058824,1.0,1.0,1.0,0.8823529411764706,0.3611111111111116,0.0,1.05078125,6.821895424836602,1.9129674174502516,0.700589970501475,1.0,1.0,1.0,1.0,1.0,0.9251474926253689,0.9500983284169126,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+20575+12580,Maseru,Lesotho,Africa,27.534437351016447,-29.34709804870153,280743.80558603496,177.60361471283105,horizontal,horizontal,v2_endpoint_shards,113,7.823008849557522,7.0,4,16,1.0,1.0,0.3274336283185841,6.513274336283186,1.3097345132743363,0.0,0.0,0,monthly_zero_observation_run_days,9.222222222222221,5.333333333333333,4.9411764705882355,1.0,1.0,1.0,0.0,-3.8888888888888884,0.4216867469879518,0.5783132530120482,-0.39215686274509753,0.9264705882352942,0.6519174041297935,1.0,1.0,1.0,0.3274336283185841,0.5783132530120482,0.8246383765149092,0.7596107142434043,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+20619+12521,Hlotse,Lesotho,Africa,27.98550620940618,-28.882548812998287,96314.86108505775,106.75984716134955,horizontal,horizontal,v2_endpoint_shards,113,3.4513274336283186,3.0,1,9,1.0,1.0,0.3274336283185841,2.5309734513274336,0.9203539823008849,0.0,0.0,0,monthly_zero_observation_run_days,4.444444444444445,2.5,2.4705882352941178,1.0,1.0,1.0,0.0,-1.9444444444444446,0.4375,0.5625,-0.02941176470588225,0.9882352941176471,0.28761061946902655,1.0,1.0,1.0,0.3274336283185841,0.5625,0.7327710176991151,0.6962573746312684,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+16983+8232,Monrovia,Liberia,Africa,-10.7258202298084,6.328153168904629,1482249.7932472993,347.2217819721478,horizontal,horizontal,v2_endpoint_shards,113,2.495575221238938,3.0,1,3,1.0,1.0,0.0,2.495575221238938,0.0,0.0,0.0,0,monthly_zero_observation_run_days,2.4722222222222223,2.5,2.4705882352941178,1.0,1.0,1.0,0.0,0.02777777777777768,0.0,1.0112359550561798,-0.02941176470588225,0.9882352941176471,0.2079646017699115,1.0,1.0,1.0,0.0,1.0,0.701991150442478,0.7013274336283186,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17039+8276,Buchanan,Liberia,Africa,-10.030413613071364,5.888337245960715,52912.64954256171,27.93751290457885,horizontal,horizontal,v2_endpoint_shards,113,7.469026548672566,8.0,4,9,1.0,1.0,0.0,7.469026548672566,0.0,0.0,0.0,0,monthly_zero_observation_run_days,7.416666666666667,7.527777777777778,7.470588235294118,1.0,1.0,1.0,0.0,0.11111111111111072,0.0,1.0149812734082397,-0.05718954248365993,0.9924028652051227,0.6224188790560472,1.0,1.0,1.0,0.0,1.0,0.8056047197640118,0.7704031465093412,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+22199+11868,Toliara,Madagascar,Africa,43.71048055894207,-23.37354354859972,76315.68608121967,62.85931579687512,horizontal,horizontal,v2_endpoint_shards,113,8.84070796460177,10.0,3,13,1.0,1.0,0.8495575221238938,8.4070796460177,0.4336283185840708,0.0,0.0,0,monthly_zero_observation_run_days,9.666666666666666,9.805555555555555,10.0,1.0,1.0,1.0,0.0,0.13888888888888928,0.0,1.014367816091954,0.19444444444444464,1.019830028328612,0.7367256637168141,1.0,1.0,1.0,0.8495575221238938,1.0,0.9191371681415931,0.931047197640118,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+22555+11644,Fianarantsoa,Madagascar,Africa,47.07919912603399,-21.52653428482008,174050.929385425,77.82518227250152,horizontal,horizontal,v2_endpoint_shards,113,2.4424778761061945,2.0,1,6,1.0,1.0,0.02654867256637168,2.424778761061947,0.017699115044247787,0.0,0.0,0,monthly_zero_observation_run_days,2.4722222222222223,2.4444444444444446,2.5294117647058822,1.0,1.0,1.0,0.0,-0.02777777777777768,0.011235955056179735,0.9887640449438203,0.0849673202614376,1.03475935828877,0.20353982300884954,1.0,1.0,1.0,0.02654867256637168,0.9887640449438203,0.7029780252560406,0.7031420900865069,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+22576+10935,Mahajanga,Madagascar,Africa,46.34381135135588,-15.710703778659946,102843.22736491411,39.91028558415971,horizontal,horizontal,v2_endpoint_shards,113,2.2035398230088497,2.0,0,7,0.9380530973451328,0.9380530973451328,0.061946902654867256,2.0973451327433628,0.08849557522123894,0.017699115044247787,0.0,153,monthly_zero_observation_run_days,2.138888888888889,2.4722222222222223,2.764705882352941,0.9444444444444444,1.0,1.0,0.058823529411764705,0.3333333333333335,0.0,1.155844155844156,0.2924836601307188,1.1183079973562458,0.1836283185840708,0.9380530973451328,0.15000000000000002,0.9380530973451328,0.061946902654867256,1.0,0.5073230088495576,0.5452802359882006,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+22579+11442,Antsirabe,Madagascar,Africa,47.03852174676586,-19.756924141995096,340501.3693175525,226.4932946830412,horizontal,horizontal,v2_endpoint_shards,113,2.4867256637168142,3.0,1,6,1.0,1.0,0.05309734513274336,2.424778761061947,0.035398230088495575,0.02654867256637168,0.0,0,monthly_zero_observation_run_days,2.5,2.4444444444444446,2.764705882352941,1.0,1.0,1.0,0.058823529411764705,-0.05555555555555536,0.022222222222222143,0.9777777777777779,0.3202614379084965,1.1310160427807485,0.20722713864306785,1.0,1.0,1.0,0.05309734513274336,0.9777777777777779,0.7060054080629302,0.7063503769255982,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
