city_id,city_name,country,continent,W0_baseline,W1_equal,W2_gap_heavy,W3_continuity_heavy,W4_coverage_only,W5_dualpol_heavy,W6_no_1b_shock
South_Asia_r02_c02_+25492+6813,Umarga,India,South_Asia,0.6419272369714847,0.6354064241232382,0.660194198623402,0.6582079646017699,0.6520206489675515,0.6944001966568337,0.6274287118977384
South_Asia_r02_c02_+25493+7305,Bhadravati,India,South_Asia,0.7259053896263521,0.7142519870534251,0.7337372480334318,0.7313822824483776,0.7188716814159292,0.7723680248279253,0.7233173549655851
South_Asia_r02_c02_+25495+6490,Karanja,India,South_Asia,0.641082484854252,0.6311156574787747,0.6592388270371428,0.6574738319535636,0.6527949852507373,0.6934448250705745,0.6280371189773845
South_Asia_r02_c02_+25495+7282,Nyamti,India,South_Asia,0.7035642546103988,0.6545307995371206,0.7125023077077438,0.7079349527421588,0.7111283185840707,0.7511330845022375,0.717233284169125
South_Asia_r02_c02_+25499+6323,Betul,India,South_Asia,0.6413738258122554,0.6301202256672036,0.6593826753697776,0.657912665536936,0.6538274336283185,0.6935886734032093,0.6288483284169125
South_Asia_r02_c02_+25500+6705,Ahmadpur,India,South_Asia,0.6422297625755415,0.6369064848879902,0.6605335973838011,0.6584736170494846,0.6517625368731562,0.6947395954172328,0.6272259095378565
South_Asia_r02_c02_+25500+7062,Kushtagi,India,South_Asia,0.6416354122770052,0.6339420330570773,0.6598655007725803,0.6579530130636324,0.6522787610619467,0.694071498806012,0.6276315142576205
South_Asia_r02_c02_+25504+6631,Basmat,India,South_Asia,0.6422297625755415,0.6369064848879902,0.6605335973838011,0.6584736170494846,0.6517625368731562,0.6947395954172328,0.6272259095378565
South_Asia_r02_c02_+25509+6587,Kalamnuri,India,South_Asia,0.6422297625755415,0.6369064848879902,0.6605335973838011,0.6584736170494846,0.6517625368731562,0.6947395954172328,0.6272259095378565
South_Asia_r02_c02_+25510+6688,Kandahar,India,South_Asia,0.6422297625755415,0.6369064848879902,0.6605335973838011,0.6584736170494846,0.6517625368731562,0.6947395954172328,0.6272259095378565
South_Asia_r02_c02_+25510+7228,Davangere,India,South_Asia,0.7060212108442196,0.6425633281827972,0.7134474645315353,0.7119037083860091,0.7217109144542773,0.7520782413260289,0.7255481809242872
South_Asia_r02_c02_+25512+6297,Sarni,India,South_Asia,0.7450688805765897,0.7121765045768329,0.7747148982757047,0.7654228628774747,0.7924778761061946,0.7747148982757047,0.7369469026548673
South_Asia_r02_c02_+25513+6450,Amravati,India,South_Asia,0.7083873567949509,0.6963452699458049,0.7149876517802017,0.7355628730191398,0.7318952802359882,0.7544419290663373,0.693971238938053
South_Asia_r02_c02_+25514+7115,Koppal,India,South_Asia,0.7253645914195518,0.7149075367869033,0.7333808156083423,0.7306571184598664,0.7175811209439527,0.772011592402836,0.7223033431661751
South_Asia_r02_c02_+25521+6810,Basavakalyan,India,South_Asia,0.6421116027531957,0.6355293346443789,0.6603416912487708,0.6584292035398229,0.6522787610619467,0.6945476892822026,0.6276315142576205
South_Asia_r02_c02_+25522+6881,Kalaburagi,India,South_Asia,0.6419272369714847,0.6354064241232382,0.660194198623402,0.6582079646017699,0.6520206489675515,0.6944001966568337,0.6274287118977384
South_Asia_r02_c02_+25522+7017,Lingsugur,India,South_Asia,0.6419272369714847,0.6354064241232382,0.660194198623402,0.6582079646017699,0.6520206489675515,0.6944001966568337,0.6274287118977384
South_Asia_r02_c02_+25523+6662,Nanded,India,South_Asia,0.6421116027531957,0.6355293346443789,0.6603416912487708,0.6584292035398229,0.6522787610619467,0.6945476892822026,0.6276315142576205
South_Asia_r02_c02_+25526+6746,Udgir,India,South_Asia,0.6394375614552607,0.6221910848901999,0.6573357915437562,0.6560870206489675,0.6546017699115043,0.6915417895771878,0.6294567354965586
South_Asia_r02_c02_+25527+7177,Kotturu,India,South_Asia,0.6909095378564405,0.6521714192068173,0.7028343166175024,0.6922935103244836,0.690221238938053,0.741465093411996,0.7008062930186825
South_Asia_r02_c02_+25528+7135,Hosapete,India,South_Asia,0.690172074729597,0.6516797771222549,0.7022443461160275,0.6914085545722712,0.6891887905604719,0.740875122910521,0.6999950835791544
South_Asia_r02_c02_+25529+6538,Digras,India,South_Asia,0.744515783231457,0.7118077730134111,0.7742724203995985,0.7647591460633154,0.7917035398230088,0.7742724203995985,0.7363384955752214
South_Asia_r02_c02_+25530+6564,Pusad,India,South_Asia,0.7442554165395179,0.7065151052792187,0.7736801953005797,0.764830637778456,0.7940265486725664,0.7736801953005797,0.7381637168141594
South_Asia_r02_c02_+25534+7123,Hosapete,India,South_Asia,0.7255241420709813,0.7198641510527297,0.7338722246668514,0.7304848107042161,0.7152581120943952,0.772503001461345,0.720478121927237
South_Asia_r02_c02_+25536+6300,Jamai,India,South_Asia,0.7452532463583006,0.7122994150979736,0.7748623909010735,0.7656441018155278,0.79273598820059,0.7748623909010735,0.7371497050147494
