scheme,pol,orbit,k,n_cities,n_replicates,mean_abs_bias_db,median_abs_bias_db,instability_db,p90_abs_bias_db,mean_synthetic_ri,n_cities_agreement,spearman_delta_vs_ob_built,spearman_p
start_thinned,vh_db_mean,ASCENDING,1,549,54900,0.5267743935551752,0.3905019681732913,0.6391709885983617,1.0061091073390014,0.1867127435704179,549,0.22723433547758332,7.337388543275893e-08
start_thinned,vh_db_mean,ASCENDING,2,549,54900,0.36380484425643195,0.269305106800223,0.4490907807080807,0.7178485936662132,0.22742221509613564,549,0.21122967902900067,5.900338246302748e-07
start_thinned,vh_db_mean,ASCENDING,3,549,54900,0.2899865599986804,0.20690906199044967,0.3592998358821584,0.5798123528770751,0.259294266076021,549,0.21387340730048163,4.227046182466701e-07
start_thinned,vh_db_mean,ASCENDING,4,549,54900,0.2465788909981808,0.18105496726437664,0.3061622906105271,0.4955978179908589,0.2861532058425476,549,0.21409916615354835,4.10754916401227e-07
start_thinned,vh_db_mean,ASCENDING,6,549,54900,0.19258927560544284,0.14100455916922527,0.23893188426537718,0.3875447503146062,0.33088923798499326,549,0.20583532606797897,1.1500020348670445e-06
start_thinned,vh_db_mean,ASCENDING,8,549,54900,0.1600651832585501,0.11732146260123777,0.19859027761327144,0.3214418510264137,0.36813252615001973,549,0.2116326799755126,5.609412460368873e-07
start_thinned,vh_db_mean,ASCENDING,12,549,54900,0.11772718932886517,0.08861438219778783,0.14589535050563382,0.2379480193899314,0.42921046065939134,549,0.21712816391006518,2.787250581131952e-07
start_thinned,vh_db_mean,ASCENDING,16,549,54900,0.08950163386948191,0.0679839380279077,0.11082261725435778,0.180540374540628,0.4788187973913821,549,0.21495484514723096,3.683457182716406e-07
start_thinned,vh_db_mean,DESCENDING,1,561,56100,0.598342537235678,0.43212110894483313,0.7212887758646336,1.130784792006124,0.1867127435704179,561,0.23354372379269966,2.1831103684418806e-08
start_thinned,vh_db_mean,DESCENDING,2,561,56100,0.4074806791145249,0.30311974231120686,0.5013622634112606,0.8016412428121124,0.22742221509613564,561,0.2488125043572817,2.310892224241166e-09
start_thinned,vh_db_mean,DESCENDING,3,561,56100,0.32615456500685575,0.24333707893211454,0.4021789710849139,0.6521247224146837,0.259294266076021,561,0.24153266063507092,6.87099244806224e-09
start_thinned,vh_db_mean,DESCENDING,4,561,56100,0.27843837867853705,0.20507656467798263,0.3445637414527953,0.5589932304871919,0.2861532058425476,561,0.2380546176715925,1.142358838307667e-08
start_thinned,vh_db_mean,DESCENDING,6,561,56100,0.2176169041015974,0.16150090243615445,0.26937275872722033,0.43825490789822535,0.33088923798499326,561,0.24759757154127213,2.7785018505897045e-09
start_thinned,vh_db_mean,DESCENDING,8,561,56100,0.17995729408156388,0.13397788764874718,0.22316234036792298,0.36289009280508017,0.36813252615001973,561,0.2431494106202925,5.4103277856591395e-09
start_thinned,vh_db_mean,DESCENDING,12,561,56100,0.13259375889900338,0.09717696239904505,0.1646311982070241,0.26845818127262444,0.42921046065939134,561,0.2424572071426471,5.994515567357874e-09
start_thinned,vh_db_mean,DESCENDING,16,561,56100,0.10080918792730466,0.07455320925125264,0.12492109019476459,0.2025477334640549,0.47881879739138217,561,0.24132067353243694,7.088823050632244e-09
start_thinned,vv_db_mean,ASCENDING,1,549,54900,0.5387311336839348,0.4141478622784609,0.6589787565131535,1.0338934421238186,0.1867127435704179,549,0.32193564175688855,1.0519691023987914e-14
start_thinned,vv_db_mean,ASCENDING,2,549,54900,0.37222886302653485,0.2983011233009556,0.4593644453196017,0.7373461883946876,0.22742221509613564,549,0.31867163867966414,2.009270966013879e-14
start_thinned,vv_db_mean,ASCENDING,3,549,54900,0.2975254181912423,0.2357994565472783,0.36806197741599406,0.5930190983042554,0.259294266076021,549,0.31333588294102527,5.690056162080471e-14
start_thinned,vv_db_mean,ASCENDING,4,549,54900,0.2526087035901991,0.19965820840165183,0.31209417481853097,0.5050689183936303,0.2861532058425476,549,0.3107671417090788,9.322531036387712e-14
start_thinned,vv_db_mean,ASCENDING,6,549,54900,0.19832113830068543,0.15685706660986654,0.24607219764802232,0.39939792702298493,0.33088923798499326,549,0.3145189594105093,4.5254390173265505e-14
start_thinned,vv_db_mean,ASCENDING,8,549,54900,0.16434992722021985,0.1281084383111386,0.20335208998514953,0.33020848020336063,0.36813252615001973,549,0.308816318340144,1.3520185841473086e-13
start_thinned,vv_db_mean,ASCENDING,12,549,54900,0.12127317760159664,0.0942892582607815,0.15056537751984497,0.24537128159292598,0.42921046065939134,549,0.3153970474904744,3.815544728400302e-14
start_thinned,vv_db_mean,ASCENDING,16,549,54900,0.09300024461804475,0.07175022784263696,0.11534840882295144,0.18803734421137572,0.4788187973913821,549,0.31642529095279576,3.122256213076823e-14
start_thinned,vv_db_mean,DESCENDING,1,561,56100,0.584024906457752,0.4564986305686647,0.7064634006492638,1.1127682580883662,0.1867127435704179,561,0.33110159532868555,8.07605975114711e-16
start_thinned,vv_db_mean,DESCENDING,2,561,56100,0.4012199536351786,0.32403057532406887,0.4920196577663345,0.7841416689617314,0.22742221509613564,561,0.3335812463254625,4.776947341273075e-16
start_thinned,vv_db_mean,DESCENDING,3,561,56100,0.3183517233423927,0.25329168504322475,0.3932050029202414,0.6343595577309391,0.259294266076021,561,0.33249558554190234,6.015224539326224e-16
start_thinned,vv_db_mean,DESCENDING,4,561,56100,0.27090909547408837,0.21589279728135669,0.33497551772253653,0.5423865975944684,0.2861532058425476,561,0.3282359633265035,1.4728973275985593e-15
start_thinned,vv_db_mean,DESCENDING,6,561,56100,0.2127602251719691,0.16637248239905844,0.26354825800103415,0.42597693932148517,0.33088923798499326,561,0.3337317918311804,4.62634745520348e-16
start_thinned,vv_db_mean,DESCENDING,8,561,56100,0.17593369902065215,0.13489971761753594,0.21837208117002757,0.35478966626199826,0.36813252615001973,561,0.334258905000298,4.1349120294534765e-16
start_thinned,vv_db_mean,DESCENDING,12,561,56100,0.13066336786927288,0.10178094200295096,0.16284768828208435,0.265477013162369,0.42921046065939134,561,0.33393925917032447,4.4264261529738015e-16
start_thinned,vv_db_mean,DESCENDING,16,561,56100,0.09970235139215766,0.07675053778221663,0.12390067906747498,0.20218626282577004,0.47881879739138217,561,0.33113289384127387,8.022947672301224e-16
